company,Company Name,Regular Market Change %,Price in EURO,Trailing P/E,Return on Equity,Price to Book,Dividend Yield,Price
MRNA,"Moderna, Inc.",-23.5463,114.13,,-0.38998002,7.8678083,,133.32 USD
GILD,"Gilead Sciences, Inc.",-2.81843,122.8,,-0.2068,15.04826,2.22,143.44 USD
BNTX,BioNTech SE,-1.97136,94.93,,-0.09300999,1.355145,,110.89 USD
KHC,The Kraft Heinz Company,-0.428351,21.89,,-0.0876,0.84225434,6.23,25.57 USD
T.TO,TELUS CORPORATION,-0.14460957,8.59,,-0.063930005,1.6378083,10.43,13.81 CAD
ARE,Alexandria Real Estate Equities,4.72799,45.32,,-0.040760003,0.5811005,5.7,52.94 USD
AMR,"Alpha Metallurgical Resources, ",-0.0617195,166.34,,-0.0296,1.6444919,,194.3 USD
GIS,"General Mills, Inc.",-0.95024,33.91,,-0.01028,3.8255746,6.1,39.61 USD
APD,"Air Products and Chemicals, Inc",-0.953108,257.11,,0.00023,4.817072,2.39,300.33 USD
VOD.L,VODAFONE GROUP PLC ORD USD0.20 ,0.20000005,137.93,,0.0010899999,0.6219719,3.33,118.24 GBp
ALB,Albemarle Corporation,-0.0670214,114.88,497.0,0.02648,1.9693279,1.22,134.19 USD
NE,Noble Corporation plc A,2.41988,40.22,48.9375,0.03283,1.6726004,4.36,46.98 USD
PFE,"Pfizer, Inc.",-1.59348,23.79,36.565792,0.05014,1.8593605,6.09,27.79 USD
APTV,Aptiv PLC,-3.86345,40.26,22.079811,0.05158,1.1195487,,47.03 USD
CVS,CVS Health Corporation,0.0,80.17,24.709763,0.06205,1.5016435,2.84,93.65 USD
AXON,"Axon Enterprise, Inc.",-4.87208,525.86,270.59912,0.06221,13.579908,,614.26 USD
AJG,Arthur J. Gallagher & Co.,0.838987,222.25,42.769356,0.06722,2.8055024,1.09,259.61 USD
JD,"JD.com, Inc.",0.204427,25.18,19.606667,0.06787,1.2082764,3.41,29.41 USD
MRK,"Merck & Company, Inc.",-2.10906,127.55,122.122955,0.06961,8.771341,2.23,148.99 USD
AIG,"American International Group, I",0.0660542,64.85,13.822992,0.0722,0.9788592,2.64,75.75 USD
SIRI,SiriusXM Holdings Inc.,-0.976633,24.3,11.493927,0.07574,0.8131408,3.77,28.39 USD
ADM,Archer-Daniels-Midland Company,1.16394,69.94,22.08108,0.07642,1.6705174,2.58,81.7 USD
AVB,"AvalonBay Communities, Inc.",0.0,157.57,25.248285,0.08487,2.1691887,3.87,184.06 USD
AKAM,"Akamai Technologies, Inc.",-2.43708,94.25,40.77407,0.08918,3.328999,,110.09 USD
BABA,Alibaba Group Holding Limited,1.26455,111.75,19.777273,0.092159994,1.9264451,0.81,130.53 USD
ENB,Enbridge Inc,1.47264,43.65,26.836843,0.092209995,2.6763427,5.56,50.99 USD
SAGCV.HE,Saga Furs Oyj C,0.6849276,14.7,14.7,0.09237,0.5831019,4.97,14.7 EUR
AMCR,Amcor plc,0.758695,40.93,19.920834,0.09396,1.8732859,5.48,47.81 USD
AES,The AES Corporation,0.476195,12.64,5.511194,0.095740005,2.1313133,4.79,14.77 USD
ATO,Atmos Energy Corporation,-0.461148,145.98,20.397131,0.09792,1.8885394,2.33,170.52 USD
FORTUM.HE,Fortum Corporation,1.2084581,20.1,21.847826,0.09993,2.2148762,3.72,20.1 EUR
HCC,"Warrior Met Coal, Inc.",-1.60876,88.49,25.271393,0.10037,2.3829944,0.3,103.36 USD
AWK,"American Water Works Company, I",-1.08139,117.46,24.029774,0.10095,2.3375585,2.58,137.21 USD
AEP,American Electric Power Company,-0.451413,107.61,21.898954,0.10130999,2.1330752,3.01,125.7 USD
ALGN,"Align Technology, Inc.",-2.51472,136.07,28.33155,0.10155,2.6754422,,158.94 USD
AMD,"Advanced Micro Devices, Inc.",0.650702,401.9,119.15101,0.10196,11.397028,,469.46 USD
ABT,Abbott Laboratories,-0.253431,97.71,37.05844,0.10576,3.8643057,2.2,114.14 USD
OXY,Occidental Petroleum Corporatio,2.37976,52.67,17.729107,0.10629,1.8381188,1.86,61.52 USD
MANTA.HE,Mandatum Oyj,0.4889932,6.17,24.66,0.10777,2.9568346,13.88,6.17 EUR
LNT,Alliant Energy Corporation,-0.98361,59.46,22.191692,0.11135,2.3920379,3.05,69.46 USD
APO,"Apollo Global Management, Inc. ",-2.73143,111.27,47.61172,0.11412,3.8181124,1.68,129.98 USD
AEE,Ameren Corporation,-0.448388,93.13,19.220848,0.11943,2.2001336,2.75,108.79 USD
ADI,"Analog Devices, Inc.",-0.809085,316.96,44.23417,0.12227,5.3611355,1.18,370.24 USD
CVX,Chevron Corporation,0.00486478,176.16,19.804619,0.12231,2.1257231,3.46,205.77 USD
XOM,ExxonMobil Holdings Corporation,0.837525,142.24,21.1926,0.12584,2.6339567,2.5,166.15 USD
USB,U.S. Bancorp,-1.65553,52.89,12.531441,0.12623,1.5877259,3.31,61.78 USD
BATS.L,BRITISH AMERICAN TOBACCO PLC OR,0.072098054,4857.39,14.309278,0.13424,1.9392697,5.98,4164.0 GBp
BTI,British American Tobacco  Indus,1.28618,48.54,14.210526,0.13424,9.709123,5.97,56.7 USD
DAC,Danaos Corporation,0.745251,127.3,4.998319,0.14140001,0.667241,2.44,148.7 USD
UNH,UnitedHealth Group Incorporated,-0.967546,329.47,25.006498,0.14152999,3.5378423,2.39,384.85 USD
AME,"AMETEK, Inc.",-1.70216,204.67,35.57738,0.14562,4.867462,0.56,239.08 USD
ARES,Ares Management Corporation,-2.0056,120.05,65.83568,0.14941,12.712356,3.77,140.23 USD
BRSL,Brightstar Lottery PLC Trading ,1.75747,9.91,11.938144,0.15182,2.5184863,8.08,11.58 USD
EOAN.DE,E.ON SE                       N,0.74074686,17.68,13.705427,0.15546,2.1778765,3.28,17.68 EUR
FIA1S.HE,Finnair Oyj,-0.86430347,4.59,8.823077,0.15581,1.1603439,2.11,4.59 EUR
VZ,Verizon Communications Inc.,-0.344412,42.11,12.843342,0.15842,1.966656,5.73,49.19 USD
BKR,Baker Hughes Company,-2.63647,53.75,20.719471,0.16463,3.1292992,1.43,62.78 USD
AFL,AFLAC Incorporated,-0.291824,99.45,12.558919,0.16908,1.924874,2.09,116.17 USD
T,AT&T Inc.,0.119422,21.53,8.30033,0.18339,1.5663927,4.42,25.15 USD
AIZ,"Assurant, Inc.",1.32586,241.42,13.314447,0.18341999,2.2836967,1.26,282.0 USD
TCEHY,Tencent Holding Ltd.,-0.9528812,48.94,15.286096,0.19906001,3.0902128,1.17,57.17 USD
ACGL,Arch Capital Group Ltd.,0.791636,85.02,7.7104034,0.19936001,1.4536432,,99.31 USD
A,"Agilent Technologies, Inc.",0.572678,133.81,31.26,0.21330999,6.193533,0.66,156.3 USD
STZ,"Constellation Brands, Inc.",0.464346,114.84,12.726755,0.2369,2.786051,3.09,134.14 USD
SAMPO.HE,Sampo Plc A,0.14546902,9.64,15.059375,0.24127,3.119094,3.76,9.64 EUR
ACN,Accenture plc,-0.993608,155.25,14.625001,0.24406,3.479404,3.56,181.35 USD
PDD,PDD Holdings Inc.,-0.753881,76.64,9.423158,0.254,2.0018258,,89.52 USD
APA,APA Corporation,2.1634,38.0,9.171487,0.26659,2.2170613,2.3,44.39 USD
AOS,A.O. Smith Corporation,-2.14733,53.45,17.786325,0.27133,4.6067,2.26,62.43 USD
AMZN,"Amazon.com, Inc.",-2.15544,222.68,21.373047,0.30558002,5.084643,,260.11 USD
AVY,Avery Dennison Corporation,-0.262072,156.39,20.0307,0.3116,5.9695444,2.18,182.68 USD
ANET,"Arista Networks, Inc.",-1.44811,157.31,59.083603,0.31476,15.660956,,183.75 USD
GSK.L,GSK PLC ORD 31 1/4P,-1.7964072,2200.06,15.983052,0.33383,4.2824707,3.55,1886.0 GBp
ALLE,Allegion plc,-0.638974,138.45,21.363276,0.3373,6.492954,1.3,161.72 USD
AMT,American Tower Corporation (REI,0.704909,150.43,23.972715,0.33914003,22.011776,4.0,175.72 USD
AXP,American Express Company,-2.57429,283.49,20.619553,0.34377,6.520626,1.12,331.15 USD
ABNB,"Airbnb, Inc.",-0.745748,158.38,42.528736,0.34542,13.9950075,,185.0 USD
IMB.L,IMPERIAL BRANDS PLC ORD 10P,-0.23856859,2926.8,11.779342,0.37151,4.9341197,6.6,2509.0 GBp
PLTR,Palantir Technologies Inc.,-0.702092,148.93,148.68378,0.38097,42.76303,,173.96 USD
APH,Amphenol Corporation,-1.87772,131.08,39.058674,0.38115,12.182528,0.64,153.11 USD
AMAT,"Applied Materials, Inc.",0.115004,424.8,42.73988,0.41068,15.374437,0.43,496.21 USD
AON,Aon plc,1.00451,301.28,19.189203,0.44699,7.773336,0.94,351.93 USD
ALL,Allstate Corporation (The),-2.002,217.91,5.2,0.46113998,2.0397303,1.66,254.54 USD
BMY,Bristol-Myers Squibb Company,-3.16521,56.05,14.913441,0.46598998,5.992677,3.73,65.47 USD
GOOGL,Alphabet Inc.,-1.17486,291.64,17.301676,0.48676,6.693454,0.26,340.67 USD
GOOG,Alphabet Inc.,-1.02429,289.53,17.150103,0.48676,6.644923,0.26,338.2 USD
ADSK,"Autodesk, Inc.",-0.107447,214.9,36.645256,0.50396,16.608442,,251.02 USD
NOVO-B.CO,Novo Nordisk B A/S,-0.06752716,39.59,11.269993,0.59815,5.9223166,3.91,295.95 DKK
ADBE,Adobe Inc.,-0.0917532,233.05,15.573227,0.62953997,9.430145,,272.22 USD
AMP,"Ameriprise Financial, Inc.",-2.26696,468.36,13.531784,0.63432,7.6012177,1.21,547.09 USD
ADP,"Automatic Data Processing, Inc.",0.717838,239.03,25.31369,0.72239,18.41633,2.45,279.21 USD
MMM,3M Company,-1.42257,152.46,32.030575,0.81891996,31.112858,1.73,178.09 USD
AMGN,Amgen Inc.,-1.9509,371.31,27.468653,0.91473,20.061518,2.28,433.73 USD
AAPL,Apple Inc.,-1.74542,266.5,36.366817,1.4875101,42.296192,0.34,311.3 USD
APP,Applovin Corporation,-0.649953,264.34,23.86167,2.03686,32.72949,,308.77 USD
HRB,"H&R Block, Inc.",1.51196,45.41,9.176471,7.13542,56.067654,3.52,53.04 USD
MO,"Altria Group, Inc.",1.37817,57.31,13.916841,,-41.889862,6.42,66.94 USD
PM,Philip Morris International Inc,0.837157,163.96,26.092644,,-34.777557,3.1,191.52 USD
ABBV,AbbVie Inc.,-1.55657,224.15,75.2385,,-77.94879,2.6,261.83 USD
AZO,"AutoZone, Inc.",-3.73429,2535.73,21.14197,,-17.412102,,2961.99 USD
